sentiment 0-negative 1-positive 2-neutral,text,lang,"0,1,2"
2,@ShinGokaiRed I love marvel and Stan Lee but I can't but sympathise with Maher there. He may well have a point. Or… https://t.co/oXVt43GS0f,en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,"I liked a @YouTube video https://t.co/dub7PUkDot Stan Lee explains why Spider-Man is just a regular guy, 1977",en,
1,"RT @JenniferUpdates: So sad to hear about Stan Lee's passing. 💔
You were a legend and you will never be forgotten. 
#RIPStanLee https://t.c…",en,
1,"RT @gain_carats: ✨ RT if you stan @pledis_17 

Choi Seung Cheol
Yoon Jeonghan
Hong Jisoo
Wen Junhui
Kwon Soonyoung 
Jeon Wonwoo
Lee Jihoon…",in,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,"RT @CADDChennai: When our #CADTrainers came up with an idea to do something as a tribute to #stanlee, this was what they did within few con…",en,
2,RT @comicsandpanels: Stan Lee and Steve Ditko https://t.co/RsrdKV60tM,en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,"@mangelrogel Ahora están con Stan Lee, ya olvidaron al sida risa xd",es,
1,"Rest in Power, Stan Lee published on Twist &amp; Twain

https://t.co/dtIg9TmSuM https://t.co/6hQy6Ovf2y",en,
2,"RT @asikoh009: スタン・リー先生、沢山の夢と希望とヒーローを有り難うございました‼️
きっとこれからも、天国で自分の生んだヒーローたちの活躍を見守ってくれるんじゃないかな？カメオで笑
R.I.P.  …God bless you, Thank you Stan L…",ja,
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/hqgBul3MYW",en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: ‘Maybe on some lev… https://t.co/LxSDoPxvYJ",en,
2,#ช้อปร่างพัง #หน้ากากแก้ว #jjprinn #รักพลิกล็อก #CanNayika #ตึ่งดึงดึ๊งปาร์ตี้ #BlackFriday #GSBGENLIVEGENIUS… https://t.co/lZWPthhpNp,und,
1,RT @Emulate_Me: GIVE STAN LEE BACK @jesus https://t.co/suQLvfyYFo,en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,"Trend Ranking within 24 hours

No.1 Markelle Fultz
https://t.co/3ALhUvG8zO
No.2 Stan Lee
https://t.co/RAYk9xQn69
No… https://t.co/vJtQjdez8r",en,
0,"I honestly get Bill Maher's take about dumbing down, but he picked the wrong poster child in attacking #StanLee.… https://t.co/h2QlL7FHi9",en,
2,Marvel le rindió homenaje a Stan Lee https://t.co/RsgK2O5XC1 https://t.co/XkpXkyBUWq,es,
0,RT @airstation86: @GIFSkull Maher comes off as one who chooses to see the world for what it is. This is why he thinks people are dumb becau…,en,
2,HUGH JACKMAN CONTA ALGUMAS DE SUAS MEMÓRIAS SOBRE STAN LEE! https://t.co/crcT8Fn1UU https://t.co/1IPdTYKaEG,pt,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,"""Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some le… https://t.co/cawHg7YTtI",en,
1,"10 Things To Know. Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting:… https://t.co/8RwVeGm5h9",en,
2,La dernière déclaration d'amour de Stan Lee à ses fans https://t.co/v0jY929245 via @YouTube,fr,
2,"RT @bradmeltzer: THREAD FOR STAN LEE. 
Stan Lee gave us more than co-creations X-Men, Iron Man, Hulk, Fantastic Four &amp; Spider-Man. He gave…",en,
2,Stan the Man: Alessandro Polidoro Editore pubblica il numero zero della collana L’eternauta… https://t.co/NJzFIEceYn,it,
1,"RT @Criterion: The great Stan Lee has passed away at the age of 95. 

Last year, we were lucky enough to spend some time with him for a vid…",en,
2,"#wip 3 ✒️
Tribute to Stan Lee @therealstanlee 
IRON-MAN Mark I #sketch 

Trying to recreate the comic cover sketch… https://t.co/iB2VGfUbBi",en,
1,"RT @RicoJrCrea: Thank you so much for all your ""#StanLee tribute"" orders on @PopCultArtCo store. Our timed release is ending 6PM GMT on Mon…",en,
1,"This impressive #podcast from @MFXPodcast will change your life! Literally not an exaggeration! Listen, why not?… https://t.co/UBw3alNvRW",en,
1,"RT @BSpodNetwork: This impressive #podcast from @MFXPodcast will change your life! Literally not an exaggeration! Listen, why not? #StanLee…",en,
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/28WB7lpOrO",en,
2,"RT @STAY_mutuals: Gain STAY Mutuals!☁🌻
※ rt and follow everyone who rts ※

rt if you stan:
― Bang Chan
― Kim Woojin
― Lee Minho
― Seo Chang…",en,
2,"RT @Marvel_TH: Kevin Feige พูดถึง Stan Lee 

""เวลาถ่ายทำ Stan ชอบเพิ่มบทพูดให้ตัวเอง(แบบล้อเล่น แต่จริงจัง)  แต่เขารู้ดีว่า เราทำแบบนั้นไม่…",th,
1,"RT @gainw1mutuals: retweet + like if you stan

- yoon jisung
- ha sungwoon
- hwang minhyun
- ong seongwu
- kim jaehwan
- kang daniel
- park…",en,
2,Adicionei um vídeo a uma playlist @YouTube https://t.co/FTukV4enO0 OS VINGADORES no GTA 5! HOMENAGEM AO STAN LEE - O Pai Dos,pt,
1,RT @TeamDowney1965: Street art.. #StanLee  #SpiderMan https://t.co/wVd2CmYcxM,en,
2,"O tanto que eu tô rindo disso!! 😂😂😂
.
.
#marvel #marvelmemes #marvelcomics #marveluniverse #avengers #thor #thanos… https://t.co/7aLFHvIS0Y",pt,
2,"RT @yu_kinaxxx: 今回のヴェノム然り、マーベル映画のスタンリーのカメオ出演はいつも楽しみの１つだった
たくさんの素晴らしい作品をありがとう🌹 #StanLee #RIPStanLee #Marvel @TheRealStanLee https://t.co/P7I…",ja,
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/jX8yri5Cen",en,
2,"Finished the first Marvel sheet with the devil of Hell’s Kitchen, Matt Murdock, also known as Daredevil! #daredevil… https://t.co/Musz2Udch0",en,
2,"RT @WhisperAmber: What do you have to be okay about? Make a list and #linkup with Hey, It's Okay.

I'm okay that I'm bummed that #StanLee d…",en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,RT @JosephAMichael: @mannysands He says that all Stan Lee did was inspire millions to watch a movie. Hard to mistake that comment. Sure he…,en,
1,"RT @JosephAMichael: So Bill Maher decided to take a swipe at one of the most iconic people from the 20th and 21st centuries, whose name wil…",en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,"RT @STAY_mutuals: Gain STAY Mutuals!💕🌻
※ rt and follow everyone who rts ※

rt if you stan:
― Bang Chan
― Woojin
― Lee Know
― Changbin
― Hyu…",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,Stan lee has been trending for days now. we stan legends,en,
2,"RT @STAY_mutuals: Gain STAY Mutuals!💕🌻
※ rt and follow everyone who rts ※

rt if you stan:
― Bang Chan
― Woojin
― Lee Know
― Changbin
― Hyu…",en,
1,RT @TeamDowney1965: Street art.. #StanLee  #SpiderMan https://t.co/wVd2CmYcxM,en,
0,RT @mooninchwe: kwon soonyoung is a legend-legendary man..getting followed by sasaengs? bitch WENT w his fuckin manager n held that POLE. h…,en,
1,"This our second hour, we'll be looking at the conclusion of 5 seasons of a #SpiderMan incarnation very close to… https://t.co/fqWeHkoVNs",en,
1,Podoba mi się film CAPTAIN LIGMA VS CGI STAN LEE w @YouTube – https://t.co/IOc80Eaayr,pl,
0,"Bill Maher’s comments seemed unnecessary to us. Where was this energy when Stan Lee was around?

Video:… https://t.co/ThE15ZfDmD",en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
2,"RT @fleurenamour: fortnite
beychella
Infinity war
black panther
this is america
yanny/laurel
the fifa world cup
royal wedding
moth lamp mem…",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,Gostei de um vídeo @YouTube https://t.co/278ebm1FWc O MELHOR PERSONAGEM CRIADO PELO STAN LEE? - GEEK MIX com Rex,pt,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
0,RT @mooninchwe: kwon soonyoung is a legend-legendary man..getting followed by sasaengs? bitch WENT w his fuckin manager n held that POLE. h…,en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,"Just arrived, Stan’s Soapbox! Now Remembering and celebrating a life with a read of some of his best offerings! God… https://t.co/3wt4859Vxt",en,
1,"RT @tonywolfness: John Byrne draws Stan Lee &amp; many of the Marvel @Marvel heroes - 
cc: @JohnByrneSays #comics #JohnByrne #StanLee #StanLeeF…",en,
1,"RT @SurgeOfPower1: RIP Stan Lee and a little about the superheroes his imagination created...the feisty writer, editor and publisher was re…",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,RT @peliculacasa_hd: Wifi Ralph” y el cameo sorpresa de Stan Lee https://t.co/PhvCAaFxO9,es,
2,"RT @mingjiseok: HI!this is a new account,please help me😊

rt if you stan
choi seungcheol
yoon jeonghan
hong jisoo
wen junhui
kwon soonyoung…",en,
1,this by far is still the best cinematic video in existence and i am eternally grateful to have witnessed it in its… https://t.co/3qkbvPyEm8,en,
1,"RT @constrayllation: RT this if you are a Stay and you stan Lee Know for who he is, not because of his visuals and ships 

I'm trying to pr…",en,
0,also what the hell i didnt ask for this pain,en,
1,"RT @TheLSDBlotter: “America is made of different races and different religions, but we’re all co-travelers on the spaceship Earth and must…",en,
1,"RT @FilmEasterEggs: In 'Teen Titans Go To the Movies' during his subtle cameo, Stan Lee poses as several Marvel characters https://t.co/5Yh…",en,
2,Strepitosa mostra dedicata a Jack Kirby (Jacob Kurtzberg) alla #FondazioneDelMonte in occasione di @bilbolbul2014… https://t.co/TTfwzG8SpU,ro,
2,"RT @marvelmex: ¿Por qué los héroes más populares de Marvel vienen en Nueva York?
https://t.co/maD6Z8fNxv",es,
1,"RT @washingtonpost: Perspective: Americans need to set aside icons like Robert E. Lee to live up to our potential, Stan McChrystal writes",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,Stan Lee: “he al­ways in­cluded in his var­i­ous char­ac­ters’ di­a­logue a word that wouldn’t be in his read­ers’… https://t.co/fj8YUDzbr0,en,
2,#StanLee @zerocalcare ci arrivo solo ora... https://t.co/gKOUR8vWNX,it,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,"If we'd have more time, we would've featured all three #SpiderWars episodes, in which we get a mess of #StanLee cha… https://t.co/ZiBzsqsPwy",en,
1,RT @InfinityWarFans: Which is your favorite #StanLee cameo? https://t.co/bHEbzKkBt7,en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,Rewatch hahahahahahaha RiP Stan Lee 😢 https://t.co/JtyPNFvwWg,tl,
2,"@melxcorner Youtube are heartless..... i cant belive they took down
Your channel and didnt even realize it! So many… https://t.co/f2jqYkEpiy",en,
2,"RT @MaximoDelirio: Yo:  te extraño....

Mi cerebro:
No veas el video
No veas el video
No veas el video
No veas el video
No veas el video
No…",es,
1,"RT @FilmEasterEggs: In 'Teen Titans Go To the Movies' during his subtle cameo, Stan Lee poses as several Marvel characters https://t.co/5Yh…",en,
2,RT @comicsandpanels: Stan Lee and Steve Ditko https://t.co/RsrdKV60tM,en,
1,"@odinl0vesmyship Stan Lee: The Man Behind Marvel, out now in paperback! #StanLee #StanLeeForever @RLPGBooks https://t.co/bL7vMz2XZi",en,
2,"RT @MaximoDelirio: Yo:  te extraño....

Mi cerebro:
No veas el video
No veas el video
No veas el video
No veas el video
No veas el video
No…",es,
1,RT @Barbara_Eden: I just saw the news that Stan Lee has passed away. While I did not know him personally I can say that when I met him he w…,en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,I liked a @YouTube video https://t.co/8BfT3A8mMQ RIP STAN LEE | Captain America (1990) REVIEW AKA RANT,en,
1,"RT @FilmEasterEggs: In 'Teen Titans Go To the Movies' during his subtle cameo, Stan Lee poses as several Marvel characters https://t.co/5Yh…",en,
0,RT @mooninchwe: kwon soonyoung is a legend-legendary man..getting followed by sasaengs? bitch WENT w his fuckin manager n held that POLE. h…,en,
2,#StanLee ha rivelato il suo ultimo desiderio a #KevinFeige prima di morire... https://t.co/DGjQ6FFDGx,it,
2,"RT @RedLegacyComics: En una entrevista para @EW, @Kevfeige ha recordado su última reunión con #StanLee:

""Lo primero que dijo fue: 'Sé que…",es,
1,"Stan Lee: The Man Behind Marvel, out now in paperback! #StanLee #StanLeeForever @RLPGBooks https://t.co/bL7vMz2XZi",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,RT @Jammho: MARVEL IS DEAD!! #stanlee #ripstanlee https://t.co/ZZahtbxJk6,en,
2,"RT @fleurenamour: fortnite
beychella
Infinity war
black panther
this is america
yanny/laurel
the fifa world cup
royal wedding
moth lamp mem…",en,
2,لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
2,"RT @propergraphicbd: Hi, My New #Logo #Design.

Looking for #Logo #Designer for your #BrandIdentity or Personal purpose?
DM me !! Urgent Se…",ja,
1,"RT @murderelgrande: Excelsior!! 
Adios Stan Lee 
todos alguna vez nos inspiramos con sus creaciones https://t.co/do3cMLcqIR",es,
2,NoOo,und,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,"RT @RicoJrCrea: Thank you so much for all your ""#StanLee tribute"" orders on @PopCultArtCo store. Our timed release is ending 6PM GMT on Mon…",en,
2,"RT @STAY_mutuals: Gain STAY Mutuals!💕🌻
※ rt and follow everyone who rts ※

rt if you stan:
― Bang Chan
― Woojin
― Lee Know
― Changbin
― Hyu…",en,
1,This hurt my aching heart too much,en,
2,"RT @STAY_mutuals: Gain STAY Mutuals!💕🌻
※ rt and follow everyone who rts ※

rt if you stan:
― Bang Chan
― Woojin
― Lee Know
― Changbin
― Hyu…",en,
2,"RT @RedLegacyComics: En una entrevista para @EW, @Kevfeige ha recordado su última reunión con #StanLee:

""Lo primero que dijo fue: 'Sé que…",es,
2,"RT @STAY_mutuals: Gain STAY Mutuals!💕🌻
※ rt and follow everyone who rts ※

rt if you stan:
― Bang Chan
― Woojin
― Lee Know
― Changbin
― Hyu…",en,
2,@lolmhao @hostiahostia @jrcremades @IvanBeider7 Stan Lee,en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
2,@julia_aruiva Fiquei muito triste no dia que ouvi que Stan Lee morreu 😭,pt,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,5 Things Stan Lee Taught Me About Life and Business by @Inc https://t.co/h567w86fjY #Comics #StanLee #Life #Culture #Business #LifeLessons,en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,How Stan Lee Transformed the Comics Business by The Economist https://t.co/a0w4IHPf7D #Comics #Culture #Business… https://t.co/gPwVowuKHs,en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,"@PauloHaruo Então, os comentários dele sobre o Stan Lee foram o pior uso possível para aplicar uma teoria correta.",pt,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,"While there are many to chose from, for my money, #StanLee's greatest contribution to comics and animation is a wor… https://t.co/jbqhsSCtkw",en,
2,كيف😭,ar,
2,"توفي ستان لي هذا الشهر .. 12 نوفمبر 2018
https://t.co/KB5XRzF2vm",ar,
1,RT @Evan_Peters: Thankful for a lot today. But a friend sent me this pic today and I gotta say I’m incredibly thankful for the genius Stan…,en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,"Stan Lee had a cameo on Ralph breaks the internet, an animated version tho. Medyo napa-aww kaming mga nanonood.",tl,
2,واووو كيف كذا مره مبدع😭😭✔✔✔,ar,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,@OGBeastx @JoeQuesada Huh...you must’ve new to comics and Stan Lee. Here’s Stan’s thoughts from probably long befor… https://t.co/q6epIbjXPB,en,
2,"RT @mingjiseok: HI!this is a new account,please help me😊

rt if you stan
choi seungcheol
yoon jeonghan
hong jisoo
wen junhui
kwon soonyoung…",en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,"RT @mingjiseok: HI!this is a new account,please help me😊

rt if you stan
choi seungcheol
yoon jeonghan
hong jisoo
wen junhui
kwon soonyoung…",en,
1,"RT @TheLSDBlotter: “America is made of different races and different religions, but we’re all co-travelers on the spaceship Earth and must…",en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
2,#StanLee #Spiderman #3Dprinting #3dprint #3dprintedmodels #AnetA8 https://t.co/TUxxPJbiTt,und,
1,RT @InfinityWarFans: Which is your favorite #StanLee cameo? https://t.co/bHEbzKkBt7,en,
2,"RT @asikoh009: スタン・リー先生、沢山の夢と希望とヒーローを有り難うございました‼️
きっとこれからも、天国で自分の生んだヒーローたちの活躍を見守ってくれるんじゃないかな？カメオで笑
R.I.P.  …God bless you, Thank you Stan L…",ja,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,"RT @CanalPapoNerd: Questionamento do dia 🤔
.
.
#marvel #marvelmemes #marvelcomics #marveluniverse #avengers #capitamarvel #thanos #avengers…",en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
2,Stan lee 😌,en,
2,RT @SHE5WN6ON: لوحة جميلة جدا من الفنان الإماراتي خالد الأستاد .. لراحل #StanLee 🙏💕 https://t.co/jmSFDNptrZ,ar,
1,"RT @FilmEasterEggs: In 'Teen Titans Go To the Movies' during his subtle cameo, Stan Lee poses as several Marvel characters https://t.co/5Yh…",en,
,RT @FilmsActu: #StanLee street art memorial sur un mur à Los Angeles. https://t.co/Nesqbssy9c,fr,
,ايه يابا الشغل دا,ar,
,"ابداع مليئ بالحزن:(
 #StanLee https://t.co/hZBeUAsHZ0",ar,
,"#RIPstanlee 
Every Stan Lee Cameo Ever (1989-2018) https://t.co/SlVeVj2Wdv vía @YouTube",es,
