sentiment 0-negative 1-positive 2-neutral,text,lang
1,"This impressive #podcast from @MFXPodcast will change your life! Literally not an exaggeration! Listen, why not?… https://t.co/UBw3alNvRW",en
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/28WB7lpOrO",en
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/jX8yri5Cen",en
2,"Finished the first Marvel sheet with the devil of Hell’s Kitchen, Matt Murdock, also known as Daredevil! #daredevil… https://t.co/Musz2Udch0",en
1,Stan lee has been trending for days now. we stan legends,en
1,"This our second hour, we'll be looking at the conclusion of 5 seasons of a #SpiderMan incarnation very close to… https://t.co/fqWeHkoVNs",en
0,"Bill Maher’s comments seemed unnecessary to us. Where was this energy when Stan Lee was around?

Video:… https://t.co/ThE15ZfDmD",en
1,"Just arrived, Stan’s Soapbox! Now Remembering and celebrating a life with a read of some of his best offerings! God… https://t.co/3wt4859Vxt",en
1,this by far is still the best cinematic video in existence and i am eternally grateful to have witnessed it in its… https://t.co/3qkbvPyEm8,en
0,also what the hell i didnt ask for this pain,en
2,Stan Lee: “he al­ways in­cluded in his var­i­ous char­ac­ters’ di­a­logue a word that wouldn’t be in his read­ers’… https://t.co/fj8YUDzbr0,en
1,"If we'd have more time, we would've featured all three #SpiderWars episodes, in which we get a mess of #StanLee cha… https://t.co/ZiBzsqsPwy",en
2,"@melxcorner Youtube are heartless..... i cant belive they took down
Your channel and didnt even realize it! So many… https://t.co/f2jqYkEpiy",en
1,"@odinl0vesmyship Stan Lee: The Man Behind Marvel, out now in paperback! #StanLee #StanLeeForever @RLPGBooks https://t.co/bL7vMz2XZi",en
1,I liked a @YouTube video https://t.co/8BfT3A8mMQ RIP STAN LEE | Captain America (1990) REVIEW AKA RANT,en
1,"Stan Lee: The Man Behind Marvel, out now in paperback! #StanLee #StanLeeForever @RLPGBooks https://t.co/bL7vMz2XZi",en
1,This hurt my aching heart too much,en
2,@lolmhao @hostiahostia @jrcremades @IvanBeider7 Stan Lee,en
1,5 Things Stan Lee Taught Me About Life and Business by @Inc https://t.co/h567w86fjY #Comics #StanLee #Life #Culture #Business #LifeLessons,en
1,How Stan Lee Transformed the Comics Business by The Economist https://t.co/a0w4IHPf7D #Comics #Culture #Business… https://t.co/gPwVowuKHs,en
1,"While there are many to chose from, for my money, #StanLee's greatest contribution to comics and animation is a wor… https://t.co/jbqhsSCtkw",en
1,@OGBeastx @JoeQuesada Huh...you must’ve new to comics and Stan Lee. Here’s Stan’s thoughts from probably long befor… https://t.co/q6epIbjXPB,en
2,Stan lee 😌,en
,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/gGuZZNauWb",en
,#Marvel Comics legend #StanLee dies at 95 https://t.co/pReJBrsqUO,en
,@techsocialnet RIP Stan Lee https://t.co/thr55b1gNU,en
,"@shawnrichison It was uncool of him to bring Stan Lee into it. But when people bag on comics, I try to remind mysel… https://t.co/oL9JFGngOu",en
,Gphoria 2004: Stan Lee as Revolver Ocelot and Hideo Kojima win Legend Award https://t.co/3xfwUNlO2k via @YouTube,en
,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/KxZXqXEYVr",en
,"im trying to watch the other mcu films and whenever i see stan lee i just,,,,.........",en
,"This is my 2d/3d Stan Lee tribute mashup. His creative genius was a big part of my artistic passion. 16""x20"" on can… https://t.co/2xGYkX9bwA",en
,Marvel Studios President Kevin Feige Recalls Final Meeting With Stan Lee https://t.co/FwzQcy77fw https://t.co/ZfR6g45SXh,en
,They featured stan lee in a Disney movie :'),en
,Stan Lee’s 1968 Column Denouncing Racism Goes Viral Again https://t.co/VDbpuIrLCj,en
,Stan Lee shoulda never gave these niggas Black Panther.,en
,Stan Lee hate finally appeared on my tumblr dash and I’m bristling.,en
,@TheRealStanLee Stan Lee was such an amazing man and will be forever missed.,en
,"Okay, remember when I said you'd need a hankie? This last section is the one where it becomes vital. If anything fr… https://t.co/pj6ZSoOuqJ",en
,@adr012 @ItsSamG @beckasmash @SweetPeachAsh @dogandbabymom @Drexius @MissMMathers @Waywardbones @wwevez… https://t.co/vMoH6MbEyy,en
,"Want see me nude? Click here -&gt;&gt;&gt; https://t.co/nhKaK3qgDd

#subgenius #paxunplugged #stanlee https://t.co/E3mAJeRV68",en
,Marvel Comics great Stan Lee attacked racism head on with his artful craft - Sentinel &amp; Enterprise https://t.co/3hMqa6cjEr,en
,"I liked a @YouTube video https://t.co/7L170nW99T Kids ask Stan Lee about his favourite Marvel Comics characters, 1978",en
,"""ROEG ONE"": FAREWELL NICOLAS ROEG (1928 - 2018)

They say ""It happens in threes"", and after Stan Lee and William Go… https://t.co/GjCSt3gjmH",en
,"And so we close today's show with #StanLee swinging through the city with #SpiderMan himself. Best. Ending. Ever.

I'm totally crying.",en
,Saw Ralph Breaks the Internet last night. And Stan Lee has a cameo and I almost cried,en
,Soon as he comes on the screen everyone gotta pour out a 40 for the homie,en
,Obviously your local library (@KzooLibrary) and local #comic shop (@FanfareKzoo) can get you stocked up on enough… https://t.co/emWYKmHLKJ,en
,Brilliant commemoration by @Reed_POP @MCMComicCon today for Stan Lee. #stanlee https://t.co/5wzw6G3Gqr,en
,Emotional Alodia Gosiengfiao recalls her unforgettable encounter with Stan Lee https://t.co/O3rms1OE2o https://t.co/G4m2tyYkEm,en
,"Daily Comics PSA
#Marvel #marvelcomics #ToysForTots #PSA #comicbooks #Thor #CaptainAmerica #StanLee https://t.co/uc46nhZc8V",en
,"I liked a @YouTube video https://t.co/SUnjDJ5mPd Fatman Beyond: Farewell, Stan Lee",en
,"https://t.co/xPBRskbNEl His show is on break right now, I wonder is that why he picked this battle.",en
,The latest The ☆★ Destiny Dream ★☆ Daily! https://t.co/9QXwSzzsGy Thanks to @crawly12 @HollywoodDub @MarleyG00DLife #stanlee #ad,en
,How great was that brief #StanLee cameo in #RalphBreaksTheInternet? Everyone in the theater clapped.,en
,"Listen and learn with @DinnerPodcast’s new astonishing episode! Listen at work, in the car, while fornicating! Hoor… https://t.co/XbsMNItY1W",en
,"Bill Maher Doubles Down, Saying Outrage Over Stan Lee Comment Proves His Point https://t.co/P5AhJBJPF5 via @TheMarySue",en
,"Marvel Studios' Kevin Feige Remembers His Last Meeting With Stan Lee: Nearly two weeks after Stan Lee's death,… https://t.co/oSDQ2zQcfU",en
,Marvel Tales #22 • Cameos by the Fantastic Four and the X-Men! Cover art by Steve Ditko! https://t.co/BFpGWozFpk… https://t.co/rolK98hFQ2,en
,"R.I.P Stan Lee, you will never be forgotten https://t.co/dxnOtIQhEK",en
,Remember that time I told a bunch of people to fuck off and put them all in a single thread resulting in so much do… https://t.co/0FlF5vQ8Tr,en
,The latest The countyoursheep Daily! https://t.co/MGusFXs12t Thanks to @MikeSilver @tadrow @Romanticide #stanlee #wellbeing,en
,So how are we celebrating Stan Lee's bday on December 28th? #curious #marvel #HappyBirthday,en
,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/LzS5K3zOx5",en
,"stan lee was supposed to be in into the spider verse 

rip stan lee ;-;",en
,I added a video to a @YouTube playlist https://t.co/RZDnyD1ee7 Mallrats - Brodie Meets Stan Lee,en
,"On the blog: finally posting my thoughts on the passing of both Stan Lee and William Goldman.

https://t.co/0A27CGyjG6",en
,".@Kevfeige reveals that #StanLee always wanted more lines in his cameo appearances. 

https://t.co/aqwcsNO96i",en
,Excelsior!,en
,When Stan Lee appeared in Wreck it Ralph 2. Tell me you're not crying. That was the cutest,en
,Hulk miss Stan. Done idk a year ago... r.i.p. #stanlee #hulk#h2oceanproteam #electrumstencilprimer #eternalink… https://t.co/XMhgL16qyV,en
,Legendary comic book writer Stan Lee passes away at 95 https://t.co/uUnjnynSrF,en
,"Some of those praising #StanLee are those who betrayed him, &amp; list even includes a detractor… https://t.co/Uw2OQssEGm",en
,I’m soooo gonna miss Stan Lee’s cameos. I look forward to them sooo much!🥺,en
,Ayyyyeee this is around the corner from my auntie crib!! Dope!!,en
,Excelsior. #stanlee #marvel #penandink #sodacitysc #sodacitymarket #sodacityart #artist #drawing #portrait #artnerd… https://t.co/M507YLfqIz,en
,"I added a video to a @YouTube playlist https://t.co/YT2TIifaIE Fatman Beyond: Farewell, Stan Lee",en
,hello. stan lee jongwon please. have a good day.,en
,"HotNewHipHop: .Kevfeige reveals that #StanLee always wanted more lines in his cameo appearances. 

https://t.co/80UOVHPlOU",en
,In 1964 @Marvel released their first monster magazine filled with movie stills and corny jokes by @TheRealStanLee R… https://t.co/Gm8zJh0Ovk,en
,Kevin Feige Recalls His Last Meeting With Stan Lee in Touching Tribute https://t.co/UeNkSkyFrQ Presented by @MusicLinkUp,en
,Kevin Feige Recalls His Last Meeting With Stan Lee in Touching Tribute https://t.co/tdN7wab9sU Presented by @MusicLinkUp,en
,Kevin Feige Recalls His Last Meeting With Stan Lee in Touching Tribute https://t.co/DWVJulvqJi Presented by @MusicLinkUp,en
,Kevin Feige Recalls His Last Meeting With Stan Lee in Touching Tribute https://t.co/TEyfTD758C Presented by @MusicLinkUp,en
,"If the left doesn’t like friggin Charlie Brown...then they need to move. 

First insults after Stan Lee’s death the… https://t.co/1MTi1VnT8R",en
,I liked a @YouTube video https://t.co/4UeO6EsmaY Draw My Life : Stan Lee (Tribute),en
,"""Chris, the fellow who plays Captain America, He was the human torch and then they made him Captain America, and he… https://t.co/Ra0EGphRsp",en
,"For sale, original, signed by  Stan Lee himself limited edition Canvas. #Wolverine #Marvel #StanLee  https://t.co/l6bG5jhnTG",en
1,Anyone wanna make a trip to LA?,en
1,"Bill Maher can be as smug as he wants about Stan Lee and the artistic value of comic books. But in the end, his con… https://t.co/E2Se5PCqWS",en
1,"This was brilliant to see today. Wonderful tribute to Stan Lee @MCMComicCon 
I think everyone signed it. #SpiderMan… https://t.co/5iPDINvqri",en
0,"Stan Lee didn't really create the characters he wanted to until he was in his 40's, on the verge of leaving the com… https://t.co/wu9HuOHykW",en
1,"Anyone who starts a sentence with ""I'm not a racist, just..."" is probably a racist.",en
1,I added a video to a @YouTube playlist https://t.co/88NVxNXK6K Stan Lee RIP Timelapse Drawing,en
1,Named my dog Stanlee after the great @TheRealStanLee i think he’d be proud. https://t.co/ENOVYLU7OG,en
1,The Fantastic Four say goodbye to Stan Lee [OC] #comicbooks https://t.co/z6KmPBUWEt,en
1,"Found a nice spot for Stan this year.
#Christmas #StanLee https://t.co/iuldOUdEVf",en
3,"I can't believe I forgot to post this here, I know it's really late, but I thought I should share it anyway because… https://t.co/YnjH5sxceO",en
1,A Beautiful Stan Lee Tribute Mural Has Appeared in Los Angeles https://t.co/VPQcOzfV7Y,en
1,"@Dean19138839 @SpeedMcDean No, there were no black gods in Norse mythology.

Not I am aware of.

Yet, Stan Lee RIP… https://t.co/kvZDurJ9Xh",en
1,I liked a @YouTube video https://t.co/jQo2BCI6Ul Jim Henson vs Stan Lee. Epic Rap Battles of History. Season 4,en
3,"Holiday Movie Preview 2018 and Farewell, Stan Lee | 333
https://t.co/yt8UTJybIo",en
1,Stan Lee Filmed Avengers 4 Cameo Before His Death https://t.co/XMWlwlD8Pw #avengers4,en
1,"Stan Lee 🖌
.
.
.
#stanlee #ripstanlee #excelsior #fatherofmarvel #marvel #drawing #sketch #illustration #colors… https://t.co/QxayyFhtne",en
1,I used to enjoy Bill Maher. But after what he said about Stan Lee. He is gonna taste the Venom! 🎶,en
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: &amp;#039;Maybe on som… https://t.co/4pu93cTSYB",en
1,The SEGS #StanLee Memorial will be starting in about 30 mins on Paragon Chat. Come hold a torch for Stan as we reme… https://t.co/fJEVzEDj8z,en
2,"Stan Lee's Last Video - Excelsior!
https://t.co/hKzj2BiXyJ

#StanLee #Marvel #Avengers4 #Avengers… https://t.co/n2oQT9ExX7",en
3,Stan Lee manda tweet por Thanksgiving https://t.co/j2x0KuQlsJ https://t.co/TOXZPmUTch,en
3,I liked a @YouTube video https://t.co/5Mwf5RedAC Jim Henson vs Stan Lee. Epic Rap Battles of History. Season 4,en
1,We give thanks to @TheRealStanLee on this holiday episode of #TheCineFiles . @srmorris and I recorded a new intro t… https://t.co/uUKyHV1r9r,en
2,Leftists turn on Bill Maher for mocking comics after Stan Lee’s death https://t.co/dUoL2YlpVR,en
1,"""Ad"" The Amazing spiderman 1 ""renew your vows"" signed by stan lee https://t.co/4Y22fp4YeD #StanLee https://t.co/KrnzEqXxzj",en
,"""Ad"" Stan Lee 2006 ~ X-Men Last Stand ~ Autographed ~ Rittenhouse Sealed Mint Card https://t.co/fjQDfbZhV5 #StanLee https://t.co/YYd3dV0xmL",en
,"""Ad"" Stan Lee Marvel Avengers Spider Man comics signed autograph 6x8 photo coa https://t.co/xiJwPihVul #StanLee https://t.co/c1mXA5oo02",en
,Did anyone else take in 'Ralph breaks the internet' this weekend? Anyone else trying not to cry in a darkened theat… https://t.co/iRSnmaHuKU,en
,"IMAGINE, if in Infinity War pt2, half the universe comes back.  Iron Man says ""everyone's back."" CA replies ""not ev… https://t.co/sbEXEnFPn3",en
,@TheDCEU a cybernetically resurrected Stan Lee,en
,"Marvel Studios' Kevin Feige Remembers His Last Meeting With Stan Lee - https://t.co/6W5ClRrhGt 

Nearly two weeks a… https://t.co/DdSXWOiNT7",en
,"Paul, Pat &amp; Honor (@Signals_Of_Fury) felt that they needed to say farewell to #StanLee. This is the result of that… https://t.co/ughE9r6C5Z",en
,Never forget Stan Lee https://t.co/XQkhlldg7j,en
,📷 mcavoy: REST IN PEACE STAN LEE (1922-2018)  https://t.co/QiuPxm32pT,en
,Stan Lee could always say it best     https://t.co/vyLplwAhm0,en
,Stan lee’s last cameo was in “Wreck it ralph breaks the internet” https://t.co/pGyQNRPQfN,en
,"Grass Routes react to Stan Lee's death, Pokemon Detective Trailer and Po... https://t.co/AW24bE096j",en
,Part 6 which includes what I had written on the Stan Lee tribute wall #MCMComicCon #MCMBirmingham #cosplay #StanLee https://t.co/rIPeCVebtw,en
,New post: Marvel Boss Shares Final Meeting with Stan Lee in Heartfelt Tribute https://t.co/akNROaoyEr,en
,Really nice Silver age X-men page available great team shot and Marvel cartoon ad #anthonyscomicbookart #xmen… https://t.co/hTV0EVA2kn,en
,Artists pay tribute to the one and only Stan Lee https://t.co/J5RsOJNzch @DigitalArtsonline.co.UK https://t.co/8lpBVIAWc9,en
,"Well, the song in memory of Stan Lee is rendering right now and it will be on youtube. I am honestly not sure if yo… https://t.co/PyC1pSYB8k",en
,"📷 superheroesincolor: RIP Stan Lee (December 28, 1922 – November 12, 2018) “Let’s lay it right on the... https://t.co/ACvQCenQNb",en
,Dope,en
,"Hey guys!!! My YouTube channel is still alive and well. I talk about movies, tv shows, general chat. Come check it… https://t.co/quVXK8MX3N",en
,Marvel Studios’ Kevin Feige describes his last ever meeting with Stan Lee... https://t.co/MHIJXMfPeh https://t.co/6AF9nSYh2L,en
,"One of the hardest episode the guys ever had to record, honoring a man they loved and admired, he will be missed… https://t.co/ACoB2X8lgH",en
,"L.I.T. 65 remembers Stan Lee and talks about our ""Guilty Pleasure"" films &amp; series! #tokusatsu https://t.co/va2T6kyr41",en
,Jeg likte en @YouTube-video – https://t.co/ejE4SZkU1H Doomcock Mourns the Passing of Stan Lee,en
,"It's a massive celebration of all things Marvel! Featuring the last work of Stan Lee, the Marvel Universe unites in… https://t.co/ZgZqLHSzvm",en
,"Kiddo is looking at submissions on Recolor and sniffle-crying over several that are sweet tributes to Stan Lee. Motherhood rules, you guys.",en
,"1) Stan Lee:
      Who is this? https://t.co/Jnn0QYY0mI",en
,"Use code “FRUITOFF” to get £2.51 off!!
https://t.co/cxUrp0812M
#thor #Lego #avengers #marvel #Present #Christmas… https://t.co/ZKp3bjVKt0",en
,"Use code “FRUITOFF” to get £2.51 off!!
https://t.co/YgDLb1DviD
#Lego #Batman #Robin #Joker #TheJoker #darkknight… https://t.co/uThHUh9UJQ",en
,"Films based on #StanLee characters grossed about $27 billion worldwide https://t.co/rLunFqWzGy ""Whatever life holds… https://t.co/YrYMZGoGw0",en
,X fans so weird 😂,en
,New post: A Tribute to Stan Lee and Superheroes https://t.co/pPzu8FT64G,en
,"Stan Lee Excelsior Spiderman Xmen Black Panther hoodie, sweatshirt, long sleeve, classic shirt… https://t.co/ObMy8akSuJ",en
,bold of them to assume this when they think LEE TAEYONG IS A DOM,en
,‘You taught us that there are no limits to our future as long as we have access to our imagination.’ — Actors and c… https://t.co/9JaEUvcG2N,en
,"Thank You For All The Memories #StanLee 🙏🏾
#Excelsior ❗️#Comics
#Marvel #StanTheManLee 

https://t.co/jHxmf1is3Y… https://t.co/WRTrUTjSFC",en
,everytime i see bryan cranston face it reminds me of stan lee.,en
,"I added a video to a @YouTube playlist https://t.co/soncWP1P9f ""THE MARVEL LEGEND"" [Stan Lee Tribute] -Remix Maniacs",en
,"devon lee carlson. 🦋🍒
94's. no one's girl. sarcastic. #1 friends stan. marvel movies. speak fluent friends quotes.… https://t.co/x8nExkmHz1",en
,Stan Lee’s cameo in “Ralph breaks the Internet” brought too much emotions 😢,en
,"4) Stan Lee:
      Who is this? https://t.co/PKjBa3PkLr",en
,"New podcast this week we say goodbye to Stan Lee and discuss one of our favorite genre tropes, the time jump.

https://t.co/RAX9g7dzMg",en
,@sheoran74 Who isn't ideologically inclined?? All human beings are ideologically inclined. Even Stan Lee was ideolo… https://t.co/RJcK98uTgo,en
,"After fans deemed his remarks offensive, Bill Maher is doubling down on his take on Stan Lee’s legacy: “a culture t… https://t.co/yCFFbgRhRq",en
,@MarvelStudios Stan Lee’s life in images replaces Marvel characters in next intro logo treatment.  @exp_perception #marvel #mcu #StanLee,en
,"Closest maybes:
Lee or Johns (DC)
Cebulski (Marvel)
Kirkman (Image)

Definitely nots:
DiDio
Quesada
Larsen

Stan Le… https://t.co/z8jySfPBtO",en
,we stan Bryce Harper,en
,"A story without a message is like a person without a soul.
—Stan Lee",en
,"5) Stan Lee:
      Who is this? https://t.co/dvQG0JA8BP",en
,uncle ben reading this tweet in heaven just mad as fuck,en
,"@MarvelStudios #StanLee cameos not shot already could be through different mediums. TVs, photos, newspapers, in background of scenes.  #mcu",en
,Could not agree with this sentiment more.,en
,#Spiderman was a Jack Kirby invention developed by Steve #Ditko.  #DoctorDoom was created by Jack #Kirby.,en
,Fantastic Four 572 CGC 9.6 signed by Stan Lee Signature auto SS Variant Cover https://t.co/mu7vPOkpMT https://t.co/Xr7Il5RrXc,en
,"I guess,,, enough internet 4 today ..........",en
,There was a Stan Lee tribute in my dream with the most beautiful poem I’d heard and I’m pissed because that means I… https://t.co/CsU3I2tCi0,en
,All characters in this mural were created by Jack Kirby.,en
,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/Y0UCTq1VLz",en
,30+ Artists’ Tributes To Late Comic Book Legend #StanLee https://t.co/PrlDUUdFpB,en
,They put Stan lee in the video game..mah heart.mah soul. https://t.co/DhlBDERWNI,en
,"In moving farewell, Marvel Studios chief Kevin Feige describes his final meeting with Stan Lee https://t.co/KwTHgMmO4K",en
,Come out and support YIC on November 28th @ The Canyon Club in Santa Clarita! Tickets are only $12 @ the door! Enjo… https://t.co/SC4FBCaGa3,en
,Stan Lee describing how he created a down to Earth relatable Spiderman - 1977 via /r/Marvel https://t.co/H886MoBxZB https://t.co/NU0LahGnjD,en
,Stan Lee Heroes and Villains via /r/Marvel https://t.co/YHfDcuvhl8 https://t.co/4L31Du2hAG,en
,Well this #spiderman game got violent quickly! #SpiderManPS4 #Marvel #StanLee #SpiderMan,en
,"Rip Stan Lee, watching teen titans go to the movies, got to his cameo, best part of the movie, rip funniest cameo o… https://t.co/adTtt5439z",en
,Well this Spiderman game got violent quick #SpiderManPS4 #Marvel #StanLee #Spiderman https://t.co/2MkkAWIJ5s,en
,"2) Stan Lee:
      Whose logo is this? https://t.co/dSfDG9jNTF",en
,"Marvel Tales #23 • Cover art by Steve Ditko. Reprints from The Amazing Spider-Man #30, Journey Into Mystery #110, a… https://t.co/yQlcKwIEqj",en
,Marvel Studios’ Kevin Feige describes his last ever meeting with Stan Lee https://t.co/cEqTJ72VNH https://t.co/6hQbdj7itE,en
,"@avengers_daya Yep, Stan Lee and baby Groot! (Iron man actually had like 5 seconds of screentime so I might have overreacted a bit 😅",en
,Excelsior. #stanlee,en
,1922-Forever. #StanLee (Art by: @Graphics_d_) https://t.co/EvKA5872QE,en
,"📷 skrull-kree: Stan Lee in Big Hero 6 Rest in Peace, Stan. (1922-2018) https://t.co/00iwEZQcw1",en
,"There won’t be another. Stan Lee was the first, only, and last comic book celebrity.",en
,I still believe that a good Shang-Chi film can be made. Super interesting to note that Bruce Lee's son Brandon was… https://t.co/zkjCbgtoPj,en
,@jason_omara @MCMComicCon #StanLee's legacy will live on.,en
,the stan lee cameo was cute too ahah if i said this was my fave superhero movie i wouldn't be lying,en
,"Hot Toys #IronMan 3 Shotgun Mark XL 1:6 Action Figure New Stan Lee UK #eBay #Marvel
⏰ Ends in 3h
💲 Last Price GBP 1… https://t.co/Bo7rfkoznS",en
,@LilFormers there shouldn't be another.  To try and be like that will only come off as trying to capture their glor… https://t.co/3ZNrdvi0Vz,en
,The latest News and Politics! https://t.co/x5ZhT2IS9t #stanlee #x,en
,I liked a @YouTube video https://t.co/oGOEyFDYRc Remembering Stan Lee,en
,Oh damn.,en
,Fascinating stuff. https://t.co/3oCBkSppCg,en
,I did this last night bro not knowing he'd be in the scene.. I'm hurt😩,en
,"Use code “FRUITOFF” to get £2.51 off!!
https://t.co/YIp950cdzv
#captainamerica #avengers #marvel #infinitywar… https://t.co/Jxt3FHMhRE",en
,"5) Stan Lee:
      Whose logo is this? https://t.co/BDggXJ5Lpe",en
,"Stan Lee made a cameo in Wreck-it Ralph 2, and I almost cried. What a great guy. He left such a lasting impression… https://t.co/x6FV4ztKlB",en
,@RubyRobertaCD Looks awesome. Especially loving the memorial wall for the amazing Stan lee ❤️,en
,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/v5c2YqxKgN",en
,Amen!!!!,en
,"1) Stan Lee:
     What is the name of this movie? https://t.co/KRoNNf6Zsx",en
,everybody get ready to appreciate Stan Lee's cameo,en
,Stan lee died and ion think the movies will neva b the same just like Steve jobbs w the iPhone's their company's go… https://t.co/6oB4xf9jbt,en
,"Suit up!

#spiderman #homecoming #starksuit #suitup #secretidentity #superhero #stanlee #marvel https://t.co/17GETKO2bV",en
,"He gets it. Longtime 'Batman' Producer on Stan Lee, Bill Maher and the Power of Comics (Guest Column) - The Hollywo… https://t.co/FQ8dNNQ7VG",en
,#WhyComicBooksMatter //Because without comics. We would not know who this is #StanLee #Excelsior https://t.co/dY7pnEJBdK,en
,The latest Zoofster Daily! https://t.co/1OoON3yx7Q Thanks to @Reelviews @a_greenwood #stanlee #hotdumbledore,en
,Dope poster! #BlackPanther #WakandaForever #MarvelMoPOP #Marvel #StanLee https://t.co/7tIgx6hoDT,en
,My brothers and I were playing the new Spider-Man game last night and that Stan Lee cameo snuck up on us. (Spoiler alert: I cried.),en
,"⁦@billmaher⁩ Says Outrage Over His #StanLee Comments ""Proves My Point"" - The Hollywood Reporter #culture #childhood… https://t.co/NUgH8d47OB",en
,Doooope! 👇,en
,Hands with anyone who fucks with this. Leave this shit alone.,en
,"@ItsCozmics @FortniteINTEL @EpicGames should do this.  They already did the Muselk rescue tombstone, so why not a Stan Lee memorial?",en
,Stan Lee https://t.co/aQH2GRckp2 https://t.co/qSKB1QOFvI,en
,"Fans’ messages to STAN LEE - IN MEMORIAM, Birmingham @mcmcomiccon @ NECBirmingham https://t.co/xRD9F67zSX",en
,"DAILY OUTFIT: MARILYN MANSON,STAN LEE AND X-MEN MOVIE.

#theclqrt @Millenialgals #bloggerloveshare #bloglove2018… https://t.co/a2Ul31fW3B",en
,@2cool4um81 Stanlee as thanos holding the infinity gauntlet,en
,10 Non-Marvel Comics Characters That Stan Lee Created https://t.co/pRVPuq6FfE,en
,@FahQ_Mean The bengals logo is a tiger. No tigers here. The difference between leopard panthers are the color. But… https://t.co/0WK3Rpbzta,en
,The Immortal Stan Lee - A Lofi Hip Hop Mix https://t.co/PW4s0CCorg to those attacking @billmaher for his attitude:… https://t.co/b24QiEhsSs,en
,Check out The Incredible Hulk Marvel Comics #102 April 1968 - Stan Lee https://t.co/cusYZI9pMC @eBay #comicbook,en
